testID,tester,machine,cpu,mhz,hwAvail,os,compiler,autoParallel,benchType,base,peak
cpu2000-20050117-03705,"IBM, Rochester, MN",4812-001 (2.0 GHz Pentium M),Intel Pentium M 400/200 Mhz System/Memory buses,2000.0,Oct-2004,Windows Server 2003 Standard Edition Build 3790,Intel C++ Compiler 8.0 (20031017Z) Microsoft Visual Studio .NET (7.0.9466),No,CINT2000,1429,1441
cpu2000-20050117-03707,"IBM, Rochester, MN",2892-001 (2.0 GHz LV Xeon),Intel LV Xeon 400/200 Mhz System/Memory buses,2000.0,Oct-2004,Windows Server 2003 Standard Edition Build 3790,Intel C++ Compiler 8.0 (20031017Z) Microsoft Visual Studio .NET (7.0.9466),No,CINT2000,756,766
cpu2000-20050122-03718,Hewlett-Packard Company,ProLiant BL35p (AMD Opteron (TM) 250),AMD Opteron (TM) 250,2400.0,Feb-2005,SuSE Linux Enterprise Server 9 for AMD64 SuSE kernel 2.6.5-7.97-smp,"PathScale EKO Compiler Suite, Release 1.4",No,CINT2000,1443,1618
cpu2000-20050122-03721,Hewlett-Packard Company,ProLiant BL35p (AMD Opteron (TM) 250),AMD Opteron (TM) 250,2400.0,Feb-2005,SuSE Linux Enterprise Server 9 for AMD64 SuSE kernel 2.6.5-7.97-smp,"PathScale EKO Compiler Suite, Release 1.4 AMD Core Math Library 2.5.1",No,CFP2000,1681,1809
cpu2000-20050124-03728,ION,LN10J (3.4GHz Xeon processor w. 1MB L2 cache),"Intel Xeon processor, 800MHz system bus",3392.0,Dec-2004,"Red Hat Enterprise Linux AS 3, 2.4.21-20.ELsmp, EM64T","Intel(R) Fortran Compiler for EM64T, V8.1 (Build 20041123) Intel(R) C Compiler for EM64T, V8.1 (Build 20041123)",No,CFP2000,1636,1648
cpu2000-20050124-03730,ION,LN10J (3.4GHz Xeon processor w. 1MB L2 cache),"Intel Xeon processor, 800MHz system bus",3392.0,Dec-2004,"Red Hat Enterprise Linux AS 3, 2.4.21-20.ELsmp, EM64T","Intel(R) C Compiler for EM64T, V8.1 (Build 20041123) Intel(R) C++ Compiler for EM64T, V8.1 (Build 20041123)",No,CINT2000,1290,1289
cpu2000-20050124-03732,ION,"LN10J (3.4GHz Xeon processor,1MB L2 cache,800MHz FSB)","Intel Xeon processor, 800MHz system bus",3189.0,Dec-2004,"Red Hat Enterprise Linux ES 3, IA-32, 2.4.21 smp kernel","Intel(R) Fortran Compiler for Linux 8.1, IA-32 (Build 20041118Z) Intel(R) C++ Compiler for Linux 8.1, IA-32 (Build 20041118Z) MicroQuill SmartHeap Library 7.1, IA-32 (www.microquill.com)",No,CFP2000,1412,1427
cpu2000-20050124-03734,ION,"LN10J (3.4GHz Xeon processor,1MB L2 cache,800MHz FSB)","Intel Xeon processor, 800MHz system bus",3189.0,Dec-2004,"Red Hat Enterprise Linux ES 3, IA-32, 2.4.21 smp kernel","Intel(R) C++ Compiler for Linux 8.1, IA-32 (Build 20041118Z) MicroQuill SmartHeap Library 7.1, IA-32 (www.microquill.com)",No,CINT2000,1367,1395
cpu2000-20050124-03736,ION,LN10J (3.4GHz Xeon processor w. 1MB L2 cache),"Intel Xeon processor, 800MHz system bus",3392.0,Dec-2004,"SuSE Linux Professional 9.1 for EM64T, 2.6.4-52-smp x86_64","Intel(R) Fortran Compiler for EM64T, V8.1 (Build 20041123) Intel(R) C Compiler for EM64T, V8.1 (Build 20041123)",No,CFP2000,1618,1621
cpu2000-20050124-03738,ION,LN10J (3.4GHz Xeon processor w. 1MB L2 cache),"Intel Xeon processor, 800MHz system bus",3392.0,Dec-2004,"SuSE Linux Professional 9.1 for EM64T, 2.6.4-52-smp x86_64","Intel(R) C Compiler for EM64T, V8.1 (Build 20041123) Intel(R) C++ Compiler for EM64T, V8.1 (Build 20041123)",No,CINT2000,1278,1278
cpu2000-20050124-03740,ION,I2X2 (1.6GHz Itanium 2 processor),Intel Itanium 2 processor,1596.0,May-2004,"Red Hat Enterprise Linux AS 3 Update 4, 2.4.21-27.EL, IPF","Intel(R) Fortran Compiler for Linux 8.1, IPF (Build 20041123) Intel(R) C Compiler for Linux 8.1, IPF (Build 20041123) MicroQuill SmartHeap library 7.01, IPF",No,CFP2000,2285,2285
cpu2000-20050124-03742,ION,I2X2 (1.6GHz Itanium 2 processor),Intel Itanium 2 processor,1596.0,May-2004,"Red Hat Enterprise Linux AS 3 Update 4, 2.4.21-27.EL, IPF","Intel(R) C Compiler for Linux 8.1, IPF (Build 20041123) Intel(R) C++ Compiler for Linux 8.1, IPF (Build 20041123) MicroQuill SmartHeap library 7.01, IPF",No,CINT2000,1227,1239
cpu2000-20050124-03744,ION,LN10J (3.4GHz Xeon processor w. 1MB L2 cache),"Intel Xeon processor, 800MHz system bus",3392.0,Dec-2004,"SuSE Linux Professional 9.1, IA-32, 2.6.4-52-smp","Intel(R) Fortran Compiler, V8.1, IA-32 (Build 20041118Z) Intel(R) C Compiler, V8.1, IA-32 (Build 20041118Z) MicroQuill SmartHeap Library 7.1, IA-32 (www.microquill.com)",No,CFP2000,1484,1505
cpu2000-20050124-03746,ION,LN10J (3.4GHz Xeon processor w. 1MB L2 cache),"Intel Xeon processor, 800MHz system bus",3392.0,Dec-2004,"SuSE Linux Professional 9.1, IA-32, 2.6.4-52-smp","Intel(R) C Compiler, V8.1, IA-32 (Build 20041118Z) Intel(R) C++ Compiler, V8.1, IA-32 (Build 20041118Z) MicroQuill SmartHeap Library 7.1, IA-32 (www.microquill.com)",No,CINT2000,1374,1399
cpu2000-20050124-03750,Hewlett-Packard Company,ProLiant DL385 (AMD Opteron (TM) 252),AMD Opteron (TM) 252,2600.0,Feb-2005,SuSE Linux Enterprise Server 9 for AMD64 SuSE kernel 2.6.5-7.97-smp,"PathScale EKO Compiler Suite, Release 1.4 AMD Core Math Library 2.5.1",No,CFP2000,1808,1951
cpu2000-20050124-03752,Hewlett-Packard Company,ProLiant DL385 (AMD Opteron (TM) 252),AMD Opteron (TM) 252,2600.0,Feb-2005,SuSE Linux Enterprise Server 9 for AMD64 SuSE kernel 2.6.5-7.97-smp,"PathScale EKO Compiler Suite, Release 1.4",No,CINT2000,1558,1745
cpu2000-20050128-03757,Hewlett-Packard Company,ProLiant BL25p (AMD Opteron (TM) 252),AMD Opteron (TM) 252,2600.0,Feb-2005,SuSE Linux Enterprise Server 9 for AMD64 SuSE kernel 2.6.5-7.97-smp,"PathScale EKO Compiler Suite, Release 1.4",No,CINT2000,1582,1764
cpu2000-20050128-03758,Hewlett-Packard Company,ProLiant BL25p (AMD Opteron (TM) 252),AMD Opteron (TM) 252,2600.0,Feb-2005,SuSE Linux Enterprise Server 9 for AMD64 SuSE kernel 2.6.5-7.97-smp,"PathScale EKO Compiler Suite, Release 1.4 AMD Core Math Library 2.5.1",No,CFP2000,1860,2012
cpu2000-20050207-03766,IBM,"IBM eServer p5 575 (1900 MHz, 1 CPU)",POWER5,1900.0,Feb-2005,AIX 5L V5.3,XL C/C++ Enterprise Edition Version 7.0 for AIX XL Fortran Enterprise Edition V9.1 for AIX Other Software: ESSL 4.2,No,CFP2000,2413,2600
cpu2000-20050207-03768,IBM,"IBM eServer p5 510 (1650 MHz, 1 CPU)",POWER5,1650.0,Feb-2005,AIX 5L V5.3,XL C/C++ Enterprise Edition Version 7.0 for AIX,No,CINT2000,1203,1260
cpu2000-20050207-03769,IBM,"IBM eServer p5 510 (1650 MHz, 1 CPU)",POWER5,1650.0,Feb-2005,AIX 5L V5.3,XL C/C++ Enterprise Edition Version 7.0 for AIX XL Fortran Enterprise Edition V9.1 for AIX Other Software: ESSL 4.2,No,CFP2000,2071,2236
cpu2000-20050207-03772,IBM,"IBM eServer p5 520 Express (1500 MHz, 1 CPU)",POWER5,1500.0,Oct-2004,AIX 5L V5.3,XL C/C++ Enterprise Edition Version 7.0 for AIX XL Fortran Enterprise Edition V9.1 for AIX Other Software: ESSL 4.2,No,CFP2000,1909,2041
cpu2000-20050207-03774,IBM,"IBM eServer p5 595 (1900 MHz, 1 CPU)",POWER5,1900.0,Nov-2004,AIX 5L V5.3,XL C/C++ Enterprise Edition Version 7.0 for AIX,No,CINT2000,1392,1452
cpu2000-20050207-03775,IBM,"IBM eServer p5 595 (1900 MHz, 1 CPU)",POWER5,1900.0,Nov-2004,AIX 5L V5.3,XL C/C++ Enterprise Edition Version 7.0 for AIX XL Fortran Enterprise Edition V9.1 for AIX Other Software: ESSL 4.2,No,CFP2000,2585,2796
cpu2000-20050207-03779,ION,I2X4 (1.6GHz Itanium 2 processor),Intel Itanium 2 processor,1596.0,Jan-2005,"Red Hat Enterprise Linux AS 3 Update 4, 2.4.21-27.EL, IPF","Intel(R) Fortran Compiler for Linux 8.1, IPF (Build 20041123) Intel(R) C Compiler for Linux 8.1, IPF (Build 20041123) MicroQuill SmartHeap library 7.01, IPF",No,CFP2000,2547,2547
cpu2000-20050207-03781,ION,I2X4 (1.6GHz Itanium 2 processor),Intel Itanium 2 processor,1596.0,Jan-2005,"Red Hat Enterprise Linux AS 3 Update 4, 2.4.21-27.EL, IPF","Intel(R) C Compiler for Linux 8.1, IPF (Build 20041123) Intel(R) C++ Compiler for Linux 8.1, IPF (Build 20041123) MicroQuill SmartHeap library 7.01, IPF",No,CINT2000,1410,1419
cpu2000-20050207-03786,"Dell Inc., Round Rock, TX",PowerEdge SC1425 (3.6Ghz Intel Xeon),"Intel Xeon (3.6Ghz, 2MB L2, 800MHz system bus)",3600.0,Feb-2005,"Windows 2003 Server, Standard Edition",Intel C/C++ Compiler 8.1 (20041019Z) Intel Fortran Compiler 8.1 (20041019Z) Microsoft Visual Studio .NET 2003(7.1.3088) MicroQuill SmartHeap Library 7.1,No,CINT2000,1686,1707
cpu2000-20050207-03787,"Dell Inc., Round Rock, TX",PowerEdge SC1425 (3.6Ghz Intel Xeon),"Intel Xeon (3.6Ghz, 2MB L2, 800MHz system bus)",3600.0,Feb-2005,"Windows 2003 Server, Standard Edition",Intel C/C++ Compiler 8.1 (20041019Z) Intel Fortran Compiler 8.1 (20041019Z) Microsoft Visual Studio .NET 2003(7.1.3088),No,CFP2000,1779,1786
cpu2000-20050207-03790,"Dell Inc., Round Rock, TX",PowerEdge 1420SC (3.6Ghz Intel Xeon),"Intel Xeon (3.6Ghz, 2MB L2, 800MHz system bus)",3600.0,Feb-2005,"Windows 2003 Server, Standard Edition",Intel C/C++ Compiler 8.1 (20041019Z) Intel Fortran Compiler 8.1 (20041019Z) Microsoft Visual Studio .NET 2003(7.1.3088) MicroQuill SmartHeap Library 7.1,No,CINT2000,1681,1703
cpu2000-20050207-03791,"Dell Inc., Round Rock, TX",PowerEdge 1420SC (3.6Ghz Intel Xeon),"Intel Xeon (3.6Ghz, 2MB L2, 800MHz system bus)",3600.0,Feb-2005,"Windows 2003 Server, Standard Edition",Intel C/C++ Compiler 8.1 (20041019Z) Intel Fortran Compiler 8.1 (20041019Z) Microsoft Visual Studio .NET 2003(7.1.3088),No,CFP2000,1775,1783
cpu2000-20050207-03792,"Dell Inc., Round Rock, TX",PowerEdge 1800SC (3.6Ghz Intel Xeon),"Intel Xeon (3.6Ghz, 2MB L2, 800MHz system bus)",3600.0,Feb-2005,"Windows 2003 Server, Standard Edition",Intel C/C++ Compiler 8.1 (20041019Z) Intel Fortran Compiler 8.1 (20041019Z) Microsoft Visual Studio .NET 2003(7.1.3088) MicroQuill SmartHeap Library 7.1,No,CINT2000,1697,1718
cpu2000-20050207-03793,"Dell Inc., Round Rock, TX",PowerEdge 1800SC (3.6Ghz Intel Xeon),"Intel Xeon (3.6Ghz, 2MB L2, 800MHz system bus)",3600.0,Feb-2005,"Windows 2003 Server, Standard Edition",Intel C/C++ Compiler 8.1 (20041019Z) Intel Fortran Compiler 8.1 (20041019Z) Microsoft Visual Studio .NET 2003(7.1.3088),No,CFP2000,1800,1807
cpu2000-20050207-03796,"Dell Inc., Round Rock, TX",PowerEdge 1855 (3.6Ghz Intel Xeon),"Intel Xeon (3.6Ghz, 2MB L2, 800MHz system bus)",3600.0,Feb-2005,"Windows 2003 Server, Standard Edition",Intel C/C++ Compiler 8.1 (20041019Z) Intel Fortran Compiler 8.1 (20041019Z) Microsoft Visual Studio .NET 2003(7.1.3088) MicroQuill SmartHeap Library 7.1,No,CINT2000,1687,1707
cpu2000-20050207-03797,"Dell Inc., Round Rock, TX",PowerEdge 1855 (3.6Ghz Intel Xeon),"Intel Xeon (3.6Ghz, 2MB L2, 800MHz system bus)",3600.0,Feb-2005,"Windows 2003 Server, Standard Edition",Intel C/C++ Compiler 8.1 (20041019Z) Intel Fortran Compiler 8.1 (20041019Z) Microsoft Visual Studio .NET 2003(7.1.3088),No,CFP2000,1783,1790
